signs,sentence
moi aimer ami bien,J'aime mon ami bien.
moi aimer bebe bien,J'aime le bébé bien.
moi aimer chat bien,J'aime le chat bien.
oui moi aimer ami,Oui j'aime mon ami !
non moi non aimer chat,Non je n'aime pas le chat !
moi vouloir,Je veux.
tu vouloir,Tu veux.
nous vouloir,Nous voulons.
moi non vouloir,Je ne veux pas.
tu non vouloir,Tu ne veux pas.
nous non vouloir,Nous ne voulons pas.
moi vouloir aide,Je veux de l'aide.
tu vouloir aide,Tu veux de l'aide.
nous vouloir aide,Nous voulons de l'aide.
moi non vouloir aide,Je ne veux pas d'aide.
moi vouloir ami,Je veux mon ami.
moi vouloir amour,Je veux de l'amour.
tu vouloir amour,Tu veux de l'amour.
moi vouloir bebe,Je veux le bébé.
moi vouloir chat,Je veux le chat.
tu vouloir chat,Tu veux le chat.
nous vouloir chat,Nous voulons le chat.
oui moi vouloir aide,Oui je veux de l'aide !
non moi non vouloir aide,Non je ne veux pas d'aide !
moi vouloir aide aujourd hui,Aujourd'hui je veux de l'aide.
aujourd hui moi vouloir aide,Aujourd'hui je veux de l'aide.
moi vouloir aide bientot,Je veux de l'aide bientôt.
moi vouloir aide ici,Je veux de l'aide ici.
moi vouloir chat bientot,Je veux le chat bientôt.
moi vouloir ami bientot,Je veux mon ami bientôt.
moi comprendre,Je comprends.
tu comprendre,Tu comprends.
nous comprendre,Nous comprenons.
moi non comprendre,Je ne comprends pas.
tu non comprendre,Tu ne comprends pas.
nous non comprendre,Nous ne comprenons pas.
moi comprendre bien,Je comprends bien.
tu comprendre bien,Tu comprends bien.
moi non comprendre bien,Je ne comprends pas bien.
moi comprendre aujourd hui,Aujourd'hui je comprends.
aujourd hui moi comprendre,Aujourd'hui je comprends.
moi comprendre bientot,Je comprends bientôt.
moi vouloir comprendre,Je veux comprendre.
tu vouloir comprendre,Tu veux comprendre.
nous vouloir comprendre,Nous voulons comprendre.
moi non vouloir comprendre,Je ne veux pas comprendre.
moi comprendre avec ami,Je comprends avec mon ami.
moi non comprendre aide,Je ne comprends pas d'aide.
tu aide moi comprendre,Tu comprends.
oui moi comprendre maintenant,Oui je comprends !
aujourd hui moi comprendre bien,Aujourd'hui je comprends bien.
moi apprendre comprendre,J'apprends.
moi apprendre,J'apprends.
tu apprendre,Tu apprends.
nous apprendre,Nous apprenons.
moi non apprendre,Je n'apprends pas.
tu non apprendre,Tu n'apprends pas.
moi apprendre aujourd hui,Aujourd'hui j'apprends.
aujourd hui moi apprendre,Aujourd'hui j'apprends.
moi apprendre bientot,J'apprends bientôt.
moi apprendre ici,J'apprends ici.
moi apprendre bien,J'apprends bien.
tu apprendre bien,Tu apprends bien.
nous apprendre bien,Nous apprenons bien.
moi vouloir apprendre,Je veux apprendre.
tu vouloir apprendre,Tu veux apprendre.
nous vouloir apprendre,Nous voulons apprendre.
moi non vouloir apprendre,Je ne veux pas apprendre.
moi apprendre avec ami,J'apprends avec mon ami.
tu apprendre avec nous,Tu apprends avec nous.
nous apprendre avec ami,Nous apprenons avec mon ami.
moi apprendre avec tu,J'apprends avec toi.
moi vouloir apprendre avec ami,Je veux apprendre avec mon ami.
moi vouloir apprendre avec tu,Je veux apprendre avec toi.
aujourd hui moi apprendre avec ami,Aujourd'hui j'apprends avec mon ami.
moi apprendre avec ami bientot,J'apprends avec mon ami bientôt.
moi apprendre ici avec ami,J'apprends avec mon ami ici.
oui moi apprendre,Oui j'apprends !
non moi non apprendre,Non je n'apprends pas !
moi attendre,J'attends.
tu attendre,Tu attends.
nous attendre,Nous attendons.
moi non attendre,Je n'attends pas.
moi attendre ami,J'attends mon ami.
tu attendre ami,Tu attends mon ami.
nous attendre ami,Nous attendons mon ami.
moi attendre tu,Je t'attends.
tu attendre moi,Tu m'attends.
moi attendre ici,J'attends ici.
tu attendre ici,Tu attends ici.
nous attendre ici,Nous attendons ici.
moi attendre ami ici,J'attends mon ami ici.
moi attendre bientot,J'attends bientôt.
moi attendre ami bientot,J'attends mon ami bientôt.
nous attendre ami ici,Nous attendons mon ami ici.
moi vouloir attendre,Je veux attendre.
moi non vouloir attendre,Je ne veux pas attendre.
moi attendre aujourd hui,Aujourd'hui j'attends.
aujourd hui moi attendre ami,Aujourd'hui j'attends mon ami.
oui moi attendre,Oui j'attends !
non moi non attendre,Non je n'attends pas !
moi donner,Je donne.
tu donner,Tu donnes.
nous donner,Nous donnons.
moi non donner,Je ne donne pas.
moi donner aide,Je donne de l'aide.
tu donner aide,Tu donnes de l'aide.
nous donner aide,Nous donnons de l'aide.
moi donner amour,Je donne de l'amour.
tu donner amour,Tu donnes de l'amour.
nous donner amour,Nous donnons de l'amour.
moi donner aide ami,Je donne de l'aide à mon ami.
tu donner aide moi,Tu me donnes de l'aide.
moi donner amour ami,Je donne de l'amour à mon ami.
nous donner aide ami,Nous donnons de l'aide à mon ami.
moi donner aide bebe,Je donne de l'aide au bébé.
moi vouloir donner aide,Je veux de l'aide.
tu vouloir donner aide,Tu veux de l'aide.
moi vouloir donner aide ami,Je veux de l'aide mon ami.
moi donner aide aujourd hui,Aujourd'hui je donne de l'aide.
aujourd hui moi donner aide ami,Aujourd'hui je donne de l'aide à mon ami.
oui moi donner aide,Oui je donne de l'aide !
non moi non donner aide,Non je ne donne pas d'aide !
moi changer,Je change.
tu changer,Tu changes.
nous changer,Nous changeons.
moi non changer,Je ne change pas.
tu non changer,Tu ne changes pas.
moi changer aujourd hui,Aujourd'hui je change.
aujourd hui moi changer,Aujourd'hui je change.
moi changer bientot,Je change bientôt.
nous changer bientot,Nous changeons bientôt.
moi vouloir changer,Je veux changer.
tu vouloir changer,Tu veux changer.
nous vouloir changer,Nous voulons changer.
moi non vouloir changer,Je ne veux pas changer.
moi changer bien,Je change bien.
oui moi changer,Oui je change !
non moi non changer,Non je ne change pas !
ami,Mon ami.
ami ici,Mon ami ici.
ami bien,Mon ami bien.
ami non bien,Mon ami bien.
ami aller,Mon ami part.
ami aller bientot,Mon ami part bientôt.
ami aller ici,Mon ami part ici.
ami manger,Mon ami mange.
ami manger ici,Mon ami mange ici.
ami boire,Mon ami boit.
ami comprendre,Mon ami comprend.
ami non comprendre,Mon ami ne comprend pas.
ami apprendre,Mon ami apprend.
ami apprendre ici,Mon ami apprend ici.
ami vouloir aide,Mon ami veut de l'aide.
ami vouloir manger,Mon ami veut manger.
ami vouloir boire,Mon ami veut boire.
ami vouloir aller,Mon ami veut aller.
ami non vouloir aller,Mon ami ne veut pas aller.
ami attendre moi,Mon ami m'attend.
ami attendre ici,Mon ami attend ici.
ami aimer moi,Mon ami m'aime.
ami aimer chat,Mon ami aime le chat.
ami aimer bebe,Mon ami aime le bébé.
ami non ici,Mon ami ici.
ami bientot,Mon ami bientôt.
ami aujourd hui ici,Aujourd'hui mon ami ici.
oui ami ici,Oui mon ami ici !
non ami non ici,Non mon ami ici !
moi ami,Moi mon ami.
moi ami bien,Moi mon ami bien.
nous ami,Nous mon ami.
tu ami,Toi mon ami.
bebe,Le bébé.
bebe bien,Le bébé bien.
bebe non bien,Le bébé bien.
bebe manger,Le bébé mange.
bebe non manger,Le bébé ne mange pas.
bebe boire,Le bébé boit.
bebe aller,Le bébé part.
bebe ici,Le bébé ici.
bebe bientot,Le bébé bientôt.
chat,Le chat.
chat ici,Le chat ici.
chat bien,Le chat bien.
chat manger,Le chat mange.
chat boire,Le chat boit.
chat aller,Le chat part.
amour,De l'amour.
moi amour,Moi de l'amour.
tu ici,Toi ici.
nous ici,Nous ici.
moi non ici,Moi ici.
nous apprendre ici,Nous apprenons ici.
aujourd hui moi ici,Aujourd'hui moi ici.
bien,Bien.
bon,Bien.
moi aller bien,Je pars bien.
aujourd hui bien,Aujourd'hui bien.
moi vouloir bien manger,Je veux manger bien.
moi comprendre bien merci,Je comprends bien.
moi aller avec tu,Je pars avec toi.
tu aller avec moi,Tu pars avec moi.
moi manger avec tu,Je mange avec toi.
moi vouloir manger avec tu,Je veux manger avec toi.
aujourd hui,Aujourd'hui.
aujourd hui moi vouloir boire,Aujourd'hui je veux boire.
aujourd hui tu aller,Aujourd'hui tu pars.
aujourd hui tu apprendre,Aujourd'hui tu apprends.
aujourd hui nous aller,Aujourd'hui nous partons.
aujourd hui nous apprendre,Aujourd'hui nous apprenons.
aujourd hui bebe bien,Aujourd'hui le bébé bien.
aujourd hui moi non bien,Aujourd'hui moi bien.
nous apprendre bientot,Nous apprenons bientôt.
au revoir moi aller bientot,Au revoir je pars bientôt !
moi vouloir apprendre avec ami aujourd hui,Aujourd'hui je veux apprendre avec mon ami.
tu vouloir manger avec moi aujourd hui,Aujourd'hui tu veux manger avec moi.
nous aller ici avec ami bientot,Nous partons avec mon ami ici bientôt.
moi non comprendre vouloir aide,Je ne comprends pas d'aide.
aujourd hui moi apprendre bien,Aujourd'hui j'apprends bien.
tu vouloir aller avec moi bientot,Tu veux aller avec moi bientôt.
nous vouloir manger ici aujourd hui,Aujourd'hui nous voulons manger ici.
moi non comprendre aide moi,Je ne comprends pas d'aide.
aujourd hui moi manger boire avec ami,Aujourd'hui je mange avec mon ami.
moi apprendre comprendre bientot,J'apprends bientôt.
tu aller avec ami aujourd hui,Aujourd'hui tu pars avec mon ami.
moi vouloir aller ici avec tu,Je veux aller avec toi ici.
nous apprendre ici aujourd hui bien,Aujourd'hui nous apprenons ici bien.
bonjour comment tu aujourd hui bien,Bonjour toi bien !
moi attendre ami ici bientot,J'attends mon ami ici bientôt.
tu vouloir apprendre avec nous,Tu veux apprendre avec nous.
moi donner aide ami aujourd hui,Aujourd'hui je donne de l'aide à mon ami.
nous non comprendre aide nous,Nous ne comprenons pas d'aide.
moi aimer boire avec ami bien,J'aime boire avec mon ami bien.
moi changer aujourd hui bien,Aujourd'hui je change bien.
tu aimer aller ici avec nous,Tu aimes aller avec nous ici.
moi vouloir changer bientot,Je veux changer bientôt.
moi aimer apprendre ici avec ami,J'aime apprendre avec mon ami ici.
nous vouloir aller avec ami aujourd hui,Aujourd'hui nous voulons aller avec mon ami.
moi attendre tu ici bientot,Je t'attends ici bientôt.
moi non vouloir aller bientot,Je ne veux pas aller bientôt.
moi donner amour ami bien,Je donne de l'amour à mon ami bien.
nous apprendre ici avec amour,Nous apprenons de l'amour ici.
moi vouloir manger ici avec ami bientot,Je veux manger avec mon ami ici bientôt.
tu non vouloir aller avec nous,Tu ne veux pas aller avec nous.
moi comprendre avec aide ami bien,Je comprends de l'aide mon ami bien.
aujourd hui moi non bien aide moi,Aujourd'hui moi bien de l'aide moi.
nous manger ici avec ami bien,Nous mangeons avec mon ami ici bien.
moi vouloir aller avec ami bientot,Je veux aller avec mon ami bientôt.
tu aller avec moi ici,Tu pars avec moi ici.
nous aimer apprendre ensemble,Nous aimons apprendre.
bonjour ami comment tu aujourd hui,Bonjour mon ami comment toi !
moi bien apprendre avec ami aujourd hui,Aujourd'hui j'apprends avec mon ami bien.
oui moi vouloir aller avec tu bientot,Oui je veux aller avec toi bientôt !
moi aimer bebe chat bien,J'aime le bébé le chat bien.
tu comprendre moi bien,Tu me comprends bien.
nous donner amour ami bientot,Nous donnons de l'amour à mon ami bientôt.
moi non comprendre aimer,Je ne comprends pas.
tu aimer apprendre avec nous,Tu aimes apprendre avec nous.
nous vouloir apprendre avec ami aujourd hui,Aujourd'hui nous voulons apprendre avec mon ami.
tu manger avec moi,Tu manges avec moi.
tu apprendre avec moi,Tu apprends avec moi.
tu boire avec moi,Tu bois avec moi.
tu vouloir aller avec moi,Tu veux aller avec moi.
tu vouloir manger avec moi,Tu veux manger avec moi.
tu vouloir apprendre avec moi,Tu veux apprendre avec moi.
moi aller avec tu bientot,Je pars avec toi bientôt.
moi manger avec tu aujourd hui,Aujourd'hui je mange avec toi.
moi apprendre avec tu bientot,J'apprends avec toi bientôt.
moi vouloir aller avec tu aujourd hui,Aujourd'hui je veux aller avec toi.
aide,De l'aide.
tu aide moi,Toi de l'aide moi.
moi aide tu,Moi de l'aide toi.
nous aide ami,Nous de l'aide mon ami.
tu aide nous,Toi de l'aide nous.
moi donner aide tu,Je te donne de l'aide.
tu vouloir aide moi,Tu veux de l'aide.
moi aide bientot,Moi de l'aide bientôt.
merci moi comprendre,Merci je comprends !
comment tu bien,Toi bien.
comment nous aller,Comment nous partons ?
comment tu apprendre,Comment tu apprends ?
comment tu comprendre,Comment tu comprends ?
comment moi aller,Comment je pars ?
bonjour ami comment tu,Bonjour mon ami comment toi !
moi non bien aide,Moi bien de l'aide.
moi comprendre merci,Je comprends.
moi non comprendre encore,Je ne comprends pas.
moi ici attendre tu,Je t'attends ici.
nous aller ici aujourd hui,Aujourd'hui nous partons ici.
moi aimer ici,J'aime ici.
moi aimer avec tu,J'aime avec toi.
moi aimer avec ami,J'aime avec mon ami.
moi aimer aujourd hui,Aujourd'hui j'aime.
nous aimer manger ici,Nous aimons manger ici.
tu aimer manger ici,Tu aimes manger ici.
merci nous apprendre,Merci nous apprenons !
merci tu aide,Merci toi de l'aide !
merci aujourd hui,Merci.
merci bientot,Merci bientôt !
bonjour merci,Bonjour Merci !
nous non aimer,Nous n'aimons pas.
nous non aller,Nous ne partons pas.
nous non apprendre,Nous n'apprenons pas.
tu non attendre,Tu n'attends pas.
nous non attendre,Nous n'attendons pas.
nous non changer,Nous ne changeons pas.
tu non donner,Tu ne donnes pas.
nous non donner,Nous ne donnons pas.
oui tu aimer,Oui tu aimes !
non tu non aimer,Non tu n'aimes pas !
oui tu aller,Oui tu pars !
non tu non aller,Non tu ne pars pas !
oui tu apprendre,Oui tu apprends !
non tu non apprendre,Non tu n'apprends pas !
oui tu attendre,Oui tu attends !
non tu non attendre,Non tu n'attends pas !
oui moi boire,Oui je bois !
non moi non boire,Non je ne bois pas !
oui tu boire,Oui tu bois !
non tu non boire,Non tu ne bois pas !
oui tu changer,Oui tu changes !
non tu non changer,Non tu ne changes pas !
oui tu comprendre,Oui tu comprends !
non tu non comprendre,Non tu ne comprends pas !
oui moi donner,Oui je donne !
non moi non donner,Non je ne donne pas !
oui tu donner,Oui tu donnes !
non tu non donner,Non tu ne donnes pas !
oui tu manger,Oui tu manges !
non tu non manger,Non tu ne manges pas !
aujourd hui moi aimer,Aujourd'hui j'aime.
aujourd hui tu aimer,Aujourd'hui tu aimes.
aujourd hui nous aimer,Aujourd'hui nous aimons.
nous aimer aujourd hui,Aujourd'hui nous aimons.
nous aller aujourd hui,Aujourd'hui nous partons.
nous apprendre aujourd hui,Aujourd'hui nous apprenons.
aujourd hui moi attendre,Aujourd'hui j'attends.
aujourd hui tu attendre,Aujourd'hui tu attends.
aujourd hui nous attendre,Aujourd'hui nous attendons.
nous attendre aujourd hui,Aujourd'hui nous attendons.
aujourd hui tu boire,Aujourd'hui tu bois.
aujourd hui nous boire,Aujourd'hui nous buvons.
nous boire aujourd hui,Aujourd'hui nous buvons.
aujourd hui tu changer,Aujourd'hui tu changes.
aujourd hui nous changer,Aujourd'hui nous changeons.
nous changer aujourd hui,Aujourd'hui nous changeons.
aujourd hui tu comprendre,Aujourd'hui tu comprends.
aujourd hui nous comprendre,Aujourd'hui nous comprenons.
nous comprendre aujourd hui,Aujourd'hui nous comprenons.
aujourd hui moi donner,Aujourd'hui je donne.
aujourd hui tu donner,Aujourd'hui tu donnes.
aujourd hui nous donner,Aujourd'hui nous donnons.
moi donner aujourd hui,Aujourd'hui je donne.
nous donner aujourd hui,Aujourd'hui nous donnons.
aujourd hui tu manger,Aujourd'hui tu manges.
aujourd hui nous manger,Aujourd'hui nous mangeons.
nous manger aujourd hui,Aujourd'hui nous mangeons.
aujourd hui moi vouloir,Aujourd'hui je veux.
aujourd hui tu vouloir,Aujourd'hui tu veux.
aujourd hui nous vouloir,Aujourd'hui nous voulons.
moi vouloir aujourd hui,Aujourd'hui je veux.
nous vouloir aujourd hui,Aujourd'hui nous voulons.
moi aimer bientot,J'aime bientôt.
nous aimer bientot,Nous aimons bientôt.
bientot moi aimer,J'aime bientôt.
bientot moi aller,Je pars bientôt.
bientot moi apprendre,J'apprends bientôt.
nous attendre bientot,Nous attendons bientôt.
bientot moi attendre,J'attends bientôt.
nous boire bientot,Nous buvons bientôt.
bientot moi boire,Je bois bientôt.
bientot moi changer,Je change bientôt.
nous comprendre bientot,Nous comprenons bientôt.
bientot moi comprendre,Je comprends bientôt.
moi donner bientot,Je donne bientôt.
nous donner bientot,Nous donnons bientôt.
bientot moi donner,Je donne bientôt.
nous manger bientot,Nous mangeons bientôt.
bientot moi manger,Je mange bientôt.
moi vouloir bientot,Je veux bientôt.
nous vouloir bientot,Nous voulons bientôt.
bientot moi vouloir,Je veux bientôt.
moi aimer bien,J'aime bien.
nous aimer bien,Nous aimons bien.
nous aller bien,Nous partons bien.
moi attendre bien,J'attends bien.
nous attendre bien,Nous attendons bien.
nous boire bien,Nous buvons bien.
nous changer bien,Nous changeons bien.
nous comprendre bien,Nous comprenons bien.
moi donner bien,Je donne bien.
nous donner bien,Nous donnons bien.
moi vouloir bien,Je veux bien.
nous vouloir bien,Nous voulons bien.
moi vouloir aimer,Je veux aimer.
tu vouloir aimer,Tu veux aimer.
nous vouloir aimer,Nous voulons aimer.
moi non vouloir aimer,Je ne veux pas aimer.
tu non vouloir aimer,Tu ne veux pas aimer.
oui moi vouloir aimer,Oui je veux aimer !
non moi non vouloir aimer,Non je ne veux pas aimer !
aujourd hui moi vouloir aimer,Aujourd'hui je veux aimer.
moi vouloir aimer bientot,Je veux aimer bientôt.
moi vouloir aimer ici,Je veux aimer ici.
tu non vouloir aller,Tu ne veux pas aller.
oui moi vouloir aller,Oui je veux aller !
non moi non vouloir aller,Non je ne veux pas aller !
aujourd hui moi vouloir aller,Aujourd'hui je veux aller.
tu non vouloir apprendre,Tu ne veux pas apprendre.
oui moi vouloir apprendre,Oui je veux apprendre !
non moi non vouloir apprendre,Non je ne veux pas apprendre !
aujourd hui moi vouloir apprendre,Aujourd'hui je veux apprendre.
moi vouloir apprendre bientot,Je veux apprendre bientôt.
moi vouloir apprendre ici,Je veux apprendre ici.
tu vouloir attendre,Tu veux attendre.
nous vouloir attendre,Nous voulons attendre.
tu non vouloir attendre,Tu ne veux pas attendre.
oui moi vouloir attendre,Oui je veux attendre !
non moi non vouloir attendre,Non je ne veux pas attendre !
aujourd hui moi vouloir attendre,Aujourd'hui je veux attendre.
moi vouloir attendre bientot,Je veux attendre bientôt.
moi vouloir attendre ici,Je veux attendre ici.
tu non vouloir boire,Tu ne veux pas boire.
moi vouloir boire bientot,Je veux boire bientôt.
moi vouloir boire ici,Je veux boire ici.
tu non vouloir changer,Tu ne veux pas changer.
oui moi vouloir changer,Oui je veux changer !
non moi non vouloir changer,Non je ne veux pas changer !
aujourd hui moi vouloir changer,Aujourd'hui je veux changer.
moi vouloir changer ici,Je veux changer ici.
tu non vouloir comprendre,Tu ne veux pas comprendre.
oui moi vouloir comprendre,Oui je veux comprendre !
non moi non vouloir comprendre,Non je ne veux pas comprendre !
aujourd hui moi vouloir comprendre,Aujourd'hui je veux comprendre.
moi vouloir comprendre bientot,Je veux comprendre bientôt.
moi vouloir comprendre ici,Je veux comprendre ici.
moi vouloir donner,Je veux donner.
tu vouloir donner,Tu veux donner.
nous vouloir donner,Nous voulons donner.
moi non vouloir donner,Je ne veux pas donner.
tu non vouloir donner,Tu ne veux pas donner.
oui moi vouloir donner,Oui je veux donner !
non moi non vouloir donner,Non je ne veux pas donner !
aujourd hui moi vouloir donner,Aujourd'hui je veux donner.
moi vouloir donner bientot,Je veux donner bientôt.
moi vouloir donner ici,Je veux donner ici.
aujourd hui moi vouloir manger,Aujourd'hui je veux manger.
tu aimer aller,Tu aimes aller.
nous aimer aller,Nous aimons aller.
moi aimer aller bientot,J'aime aller bientôt.
aujourd hui moi aimer aller,Aujourd'hui j'aime aller.
moi aimer apprendre bientot,J'aime apprendre bientôt.
aujourd hui moi aimer apprendre,Aujourd'hui j'aime apprendre.
moi aimer attendre,J'aime attendre.
tu aimer attendre,Tu aimes attendre.
nous aimer attendre,Nous aimons attendre.
moi aimer attendre bientot,J'aime attendre bientôt.
aujourd hui moi aimer attendre,Aujourd'hui j'aime attendre.
tu aimer boire,Tu aimes boire.
nous aimer boire,Nous aimons boire.
moi aimer boire bientot,J'aime boire bientôt.
aujourd hui moi aimer boire,Aujourd'hui j'aime boire.
tu aimer changer,Tu aimes changer.
nous aimer changer,Nous aimons changer.
moi aimer changer bientot,J'aime changer bientôt.
aujourd hui moi aimer changer,Aujourd'hui j'aime changer.
tu aimer comprendre,Tu aimes comprendre.
nous aimer comprendre,Nous aimons comprendre.
moi aimer comprendre bientot,J'aime comprendre bientôt.
aujourd hui moi aimer comprendre,Aujourd'hui j'aime comprendre.
moi aimer donner,J'aime donner.
tu aimer donner,Tu aimes donner.
nous aimer donner,Nous aimons donner.
moi aimer donner bientot,J'aime donner bientôt.
aujourd hui moi aimer donner,Aujourd'hui j'aime donner.
moi aimer manger bientot,J'aime manger bientôt.
aujourd hui moi aimer manger,Aujourd'hui j'aime manger.
moi aimer vouloir,J'aime vouloir.
tu aimer vouloir,Tu aimes vouloir.
nous aimer vouloir,Nous aimons vouloir.
moi aimer vouloir bientot,J'aime vouloir bientôt.
aujourd hui moi aimer vouloir,Aujourd'hui j'aime vouloir.
tu aimer avec nous,Tu aimes avec nous.
nous aimer avec ami,Nous aimons avec mon ami.
moi vouloir aimer avec ami,Je veux aimer avec mon ami.
moi vouloir aimer avec tu,Je veux aimer avec toi.
aujourd hui moi aimer avec ami,Aujourd'hui j'aime avec mon ami.
moi attendre avec ami,J'attends avec mon ami.
moi attendre avec tu,J'attends avec toi.
tu attendre avec nous,Tu attends avec nous.
nous attendre avec ami,Nous attendons avec mon ami.
moi vouloir attendre avec ami,Je veux attendre avec mon ami.
