signs,sentence
oui bientot,"Oui, à bientôt !"
moi manger,Je mange.
moi manger,Je suis en train de manger.
tu manger,Tu manges ?
nous manger,Nous mangeons.
moi non manger,Je ne mange pas.
tu non manger,Tu ne manges pas ?
nous non manger,Nous ne mangeons pas.
moi manger aujourd hui,Je mange aujourd'hui.
aujourd hui moi manger,"Aujourd'hui, je mange."
moi manger bientot,Je vais manger bientôt.
moi manger ici,Je mange ici.
nous manger ici,Nous mangeons ici.
moi manger bien,Je mange bien.
nous manger bien,Nous mangeons bien.
moi vouloir manger,Je veux manger.
moi vouloir manger,Je voudrais manger.
tu vouloir manger,Tu veux manger ?
nous vouloir manger,Nous voulons manger.
moi non vouloir manger,Je ne veux pas manger.
tu non vouloir manger,Tu ne veux pas manger ?
moi vouloir manger bientot,Je veux manger bientôt.
moi vouloir manger ici,Je veux manger ici.
moi aimer manger,J'aime manger.
tu aimer manger,Tu aimes manger ?
nous aimer manger,Nous aimons manger.
moi manger avec ami,Je mange avec mon ami.
tu manger avec nous,Tu manges avec nous ?
nous manger avec ami,Nous mangeons avec notre ami.
moi vouloir manger avec ami,Je veux manger avec mon ami.
tu vouloir manger avec nous,Tu veux manger avec nous ?
aujourd hui moi manger avec ami,"Aujourd'hui, je mange avec mon ami."
moi manger avec ami bientot,Je mange bientôt avec mon ami.
oui moi vouloir manger,"Oui, je veux manger."
non moi non vouloir manger,"Non, je ne veux pas manger."
moi boire,Je bois.
tu boire,Tu bois ?
nous boire,Nous buvons.
moi non boire,Je ne bois pas.
tu non boire,Tu ne bois pas ?
nous non boire,Nous ne buvons pas.
moi boire aujourd hui,Je bois aujourd'hui.
aujourd hui moi boire,"Aujourd'hui, je bois."
moi boire bientot,Je vais boire bientôt.
moi boire ici,Je bois ici.
moi boire bien,Je bois bien.
moi vouloir boire,Je veux boire.
tu vouloir boire,Tu veux boire ?
nous vouloir boire,Nous voulons boire.
moi non vouloir boire,Je ne veux pas boire.
moi aimer boire,J'aime boire.
moi boire avec ami,Je bois avec mon ami.
nous boire avec ami,Nous buvons avec notre ami.
moi vouloir boire avec ami,Je veux boire avec mon ami.
moi manger boire,Je mange et je bois.
nous manger boire,Nous mangeons et buvons.
moi manger boire bien,Je mange et je bois bien.
oui moi vouloir boire,"Oui, je veux boire."
non moi non vouloir boire,"Non, je ne veux pas boire."
moi aller,Je pars.
moi aller,Je m'en vais.
tu aller,Tu pars ?
nous aller,Nous partons.
moi non aller,Je ne pars pas.
tu non aller,Tu ne pars pas ?
moi aller ici,Je viens ici.
tu aller ici,Tu viens ici ?
nous aller ici,Nous venons ici.
moi aller bientot,Je pars bientôt.
nous aller bientot,Nous partons bientôt.
moi aller aujourd hui,Je pars aujourd'hui.
aujourd hui moi aller,"Aujourd'hui, je pars."
moi vouloir aller,Je veux partir.
tu vouloir aller,Tu veux partir ?
nous vouloir aller,Nous voulons partir.
moi non vouloir aller,Je ne veux pas partir.
moi vouloir aller ici,Je veux venir ici.
moi vouloir aller bientot,Je veux partir bientôt.
moi aller avec ami,Je pars avec mon ami.
tu aller avec nous,Tu viens avec nous ?
nous aller avec ami,Nous partons avec notre ami.
moi vouloir aller avec ami,Je veux partir avec mon ami.
tu vouloir aller avec nous,Tu veux venir avec nous ?
moi vouloir aller avec tu,Je veux aller avec toi.
aujourd hui moi aller avec ami,"Aujourd'hui, je pars avec mon ami."
moi aller avec ami bientot,Je pars avec mon ami bientôt.
oui moi aller,"Oui, je pars."
non moi non aller,"Non, je ne pars pas."
moi aimer,J'aime.
tu aimer,Tu aimes ?
nous aimer,Nous aimons.
moi non aimer,Je n'aime pas.
tu non aimer,Tu n'aimes pas ?
moi aimer ami,J'aime mon ami.
tu aimer ami,Tu aimes ton ami ?
nous aimer ami,Nous aimons nos amis.
moi non aimer ami,Je n'aime pas mon ami.
moi aimer amour,J'aime l'amour.
moi aimer bebe,J'aime les bébés.
tu aimer bebe,Tu aimes les bébés ?
nous aimer bebe,Nous aimons les bébés.
moi aimer chat,J'aime les chats.
moi aimer chat,J'aime mon chat.
tu aimer chat,Tu aimes les chats ?
nous aimer chat,Nous aimons les chats.
moi non aimer chat,Je n'aime pas les chats.
moi aimer aide,J'apprécie l'aide.
moi aimer aller,J'aime partir.
moi aimer aller ici,J'aime venir ici.
moi aimer apprendre,J'aime apprendre.
moi aimer comprendre,J'aime comprendre.
moi aimer changer,J'aime changer.
tu aimer apprendre,Tu aimes apprendre ?
nous aimer apprendre,Nous aimons apprendre.
moi aimer manger avec ami,J'aime manger avec mon ami.
moi aimer boire avec ami,J'aime boire avec mon ami.
moi aimer aller avec ami,J'aime partir avec mon ami.
aujourd hui moi aimer ami,"Aujourd'hui, j'aime mon ami."
moi aimer ami bien,J'aime vraiment mon ami.
moi aimer bebe bien,J'aime vraiment les bébés.
moi aimer chat bien,J'aime beaucoup les chats.
oui moi aimer ami,"Oui, j'aime mon ami."
non moi non aimer chat,"Non, je n'aime pas les chats."
moi vouloir,Je veux.
tu vouloir,Tu veux ?
nous vouloir,Nous voulons.
moi non vouloir,Je ne veux pas.
tu non vouloir,Tu ne veux pas ?
nous non vouloir,Nous ne voulons pas.
moi vouloir aide,Je veux de l'aide.
moi vouloir aide,J'ai besoin d'aide.
tu vouloir aide,Tu veux de l'aide ?
nous vouloir aide,Nous voulons de l'aide.
moi non vouloir aide,Je ne veux pas d'aide.
moi vouloir ami,Je veux un ami.
moi vouloir amour,Je veux de l'amour.
tu vouloir amour,Tu veux de l'amour ?
moi vouloir bebe,Je veux un bébé.
moi vouloir chat,Je veux un chat.
tu vouloir chat,Tu veux un chat ?
nous vouloir chat,Nous voulons un chat.
oui moi vouloir aide,"Oui, je veux de l'aide."
non moi non vouloir aide,"Non, je ne veux pas d'aide."
moi vouloir aide aujourd hui,Je veux de l'aide aujourd'hui.
aujourd hui moi vouloir aide,"Aujourd'hui, j'ai besoin d'aide."
moi vouloir aide bientot,Je vais avoir besoin d'aide bientôt.
moi vouloir aide ici,Je veux de l'aide ici.
moi vouloir chat bientot,Je veux un chat bientôt.
moi vouloir ami bientot,Je veux un ami bientôt.
moi comprendre,Je comprends.
tu comprendre,Tu comprends ?
nous comprendre,Nous comprenons.
moi non comprendre,Je ne comprends pas.
tu non comprendre,Tu ne comprends pas ?
nous non comprendre,Nous ne comprenons pas.
moi comprendre bien,Je comprends bien.
tu comprendre bien,Tu comprends bien ?
moi non comprendre bien,Je ne comprends pas bien.
moi comprendre aujourd hui,Je comprends aujourd'hui.
aujourd hui moi comprendre,"Aujourd'hui, je comprends."
moi comprendre bientot,Je vais comprendre bientôt.
moi vouloir comprendre,Je veux comprendre.
tu vouloir comprendre,Tu veux comprendre ?
nous vouloir comprendre,Nous voulons comprendre.
moi non vouloir comprendre,Je ne veux pas comprendre.
moi aimer comprendre,J'aime comprendre.
moi comprendre avec ami,Je comprends avec l'aide de mon ami.
moi non comprendre aide,"Je ne comprends pas, j'ai besoin d'aide."
moi non comprendre aide,"Je ne comprends pas, aide-moi."
tu aide moi comprendre,Tu m'aides à comprendre ?
oui moi comprendre,"Oui, je comprends."
oui moi comprendre maintenant,"Oui, je comprends maintenant."
non moi non comprendre,"Non, je ne comprends pas."
aujourd hui moi comprendre bien,"Aujourd'hui, je comprends bien."
moi apprendre comprendre,J'apprends à comprendre.
moi apprendre,J'apprends.
tu apprendre,Tu apprends ?
nous apprendre,Nous apprenons.
moi non apprendre,Je n'apprends pas.
tu non apprendre,Tu n'apprends pas ?
moi apprendre aujourd hui,J'apprends aujourd'hui.
aujourd hui moi apprendre,"Aujourd'hui, j'apprends."
moi apprendre bientot,Je vais apprendre bientôt.
moi apprendre ici,J'apprends ici.
moi apprendre bien,J'apprends bien.
tu apprendre bien,Tu apprends bien ?
nous apprendre bien,Nous apprenons bien.
moi vouloir apprendre,Je veux apprendre.
tu vouloir apprendre,Tu veux apprendre ?
nous vouloir apprendre,Nous voulons apprendre.
moi non vouloir apprendre,Je ne veux pas apprendre.
moi aimer apprendre,J'aime apprendre.
tu aimer apprendre,Tu aimes apprendre ?
nous aimer apprendre,Nous aimons apprendre.
moi apprendre avec ami,J'apprends avec mon ami.
tu apprendre avec nous,Tu apprends avec nous ?
nous apprendre avec ami,Nous apprenons avec notre ami.
moi apprendre avec tu,J'apprends avec toi.
moi vouloir apprendre avec ami,Je veux apprendre avec mon ami.
moi vouloir apprendre avec tu,Je veux apprendre avec toi.
aujourd hui moi apprendre avec ami,"Aujourd'hui, j'apprends avec mon ami."
moi apprendre avec ami bientot,Je vais apprendre avec mon ami bientôt.
moi apprendre ici avec ami,J'apprends ici avec mon ami.
oui moi apprendre,"Oui, j'apprends."
non moi non apprendre,"Non, je n'apprends pas."
moi attendre,J'attends.
tu attendre,Tu attends ?
nous attendre,Nous attendons.
moi non attendre,Je n'attends pas.
moi attendre ami,J'attends mon ami.
tu attendre ami,Tu attends ton ami ?
nous attendre ami,Nous attendons notre ami.
moi attendre tu,Je t'attends.
tu attendre moi,Tu m'attends ?
moi attendre ici,J'attends ici.
tu attendre ici,Tu attends ici ?
nous attendre ici,Nous attendons ici.
moi attendre ami ici,J'attends mon ami ici.
moi attendre bientot,J'attends bientôt.
moi attendre ami bientot,J'attends mon ami bientôt.
nous attendre ami ici,Nous attendons notre ami ici.
moi vouloir attendre,Je veux attendre.
moi non vouloir attendre,Je ne veux pas attendre.
moi attendre aujourd hui,J'attends aujourd'hui.
aujourd hui moi attendre ami,"Aujourd'hui, j'attends mon ami."
oui moi attendre,"Oui, j'attends."
non moi non attendre,"Non, je n'attends pas."
moi donner,Je donne.
tu donner,Tu donnes ?
nous donner,Nous donnons.
moi non donner,Je ne donne pas.
moi donner aide,Je donne de l'aide.
tu donner aide,Tu donnes de l'aide ?
nous donner aide,Nous donnons de l'aide.
moi donner amour,Je donne de l'amour.
tu donner amour,Tu donnes de l'amour ?
nous donner amour,Nous donnons de l'amour.
moi donner aide ami,Je donne de l'aide à mon ami.
tu donner aide moi,Tu me donnes de l'aide ?
moi donner amour ami,Je donne de l'amour à mon ami.
nous donner aide ami,Nous donnons de l'aide à notre ami.
moi donner aide bebe,Je donne de l'aide au bébé.
moi vouloir donner aide,Je veux donner de l'aide.
tu vouloir donner aide,Tu veux donner de l'aide ?
moi vouloir donner aide ami,Je veux donner de l'aide à mon ami.
moi donner aide aujourd hui,"Aujourd'hui, je donne de l'aide."
aujourd hui moi donner aide ami,"Aujourd'hui, je donne de l'aide à mon ami."
oui moi donner aide,"Oui, je donne de l'aide."
non moi non donner aide,"Non, je ne donne pas d'aide."
moi changer,Je change.
tu changer,Tu changes ?
nous changer,Nous changeons.
moi non changer,Je ne change pas.
tu non changer,Tu ne changes pas ?
moi changer aujourd hui,Je change aujourd'hui.
aujourd hui moi changer,"Aujourd'hui, je change."
moi changer bientot,Je vais changer bientôt.
nous changer bientot,Nous allons changer bientôt.
moi vouloir changer,Je veux changer.
tu vouloir changer,Tu veux changer ?
nous vouloir changer,Nous voulons changer.
moi non vouloir changer,Je ne veux pas changer.
moi aimer changer,J'aime changer.
moi changer bien,Je change en bien.
oui moi changer,"Oui, je change."
non moi non changer,"Non, je ne change pas."
ami,Mon ami.
ami ici,Mon ami est ici.
ami bien,Mon ami va bien.
ami non bien,Mon ami ne va pas bien.
ami aller,Mon ami part.
ami aller bientot,Mon ami part bientôt.
ami aller ici,Mon ami vient ici.
ami manger,Mon ami mange.
ami manger ici,Mon ami mange ici.
ami boire,Mon ami boit.
ami comprendre,Mon ami comprend.
ami non comprendre,Mon ami ne comprend pas.
ami apprendre,Mon ami apprend.
ami apprendre ici,Mon ami apprend ici.
ami vouloir aide,Mon ami veut de l'aide.
ami vouloir manger,Mon ami veut manger.
ami vouloir boire,Mon ami veut boire.
ami vouloir aller,Mon ami veut partir.
ami non vouloir aller,Mon ami ne veut pas partir.
ami attendre moi,Mon ami m'attend.
ami attendre ici,Mon ami attend ici.
ami aimer moi,Mon ami m'aime.
ami aimer chat,Mon ami aime les chats.
ami aimer bebe,Mon ami aime les bébés.
ami non ici,Mon ami n'est pas là.
ami bientot,Mon ami arrive bientôt.
ami aujourd hui ici,Mon ami est ici aujourd'hui.
oui ami ici,"Oui, mon ami est ici."
non ami non ici,"Non, mon ami n'est pas là."
moi ami,J'ai un ami.
moi ami bien,"Mon ami et moi, nous allons bien."
nous ami,Nous sommes amis.
tu ami,Tu es mon ami.
bebe,C'est un bébé.
bebe bien,Le bébé va bien.
bebe non bien,Le bébé ne va pas bien.
bebe manger,Le bébé mange.
bebe non manger,Le bébé ne mange pas.
bebe boire,Le bébé boit.
bebe aller,Le bébé part.
bebe ici,Le bébé est ici.
bebe bientot,Le bébé arrive bientôt.
moi aimer bebe,J'aime les bébés.
tu aimer bebe,Tu aimes les bébés ?
nous aimer bebe,Nous aimons les bébés.
moi vouloir bebe,Je veux un bébé.
chat,C'est un chat.
chat ici,Le chat est ici.
chat bien,Le chat va bien.
chat manger,Le chat mange.
chat boire,Le chat boit.
chat aller,Le chat part.
moi aimer chat,J'aime les chats.
moi aimer chat,J'aime mon chat.
tu aimer chat,Tu aimes les chats ?
nous aimer chat,Nous aimons les chats.
moi non aimer chat,Je n'aime pas les chats.
moi vouloir chat,Je veux un chat.
tu vouloir chat,Tu veux un chat ?
amour,C'est l'amour.
moi amour,J'aime.
moi aimer amour,J'aime l'amour.
nous amour,Nous nous aimons.
moi donner amour,Je donne mon amour.
moi donner amour ami,Je donne mon amour à mon ami.
moi vouloir amour,Je veux de l'amour.
tu vouloir amour,Tu veux de l'amour ?
moi ici,Je suis ici.
moi ici,Me voici.
tu ici,Tu es ici ?
nous ici,Nous sommes ici.
moi non ici,Je ne suis pas là.
ami ici,Mon ami est ici.
chat ici,Le chat est ici.
bebe ici,Le bébé est ici.
moi attendre ici,J'attends ici.
moi manger ici,Je mange ici.
moi boire ici,Je bois ici.
moi apprendre ici,J'apprends ici.
nous apprendre ici,Nous apprenons ici.
moi vouloir manger ici,Je veux manger ici.
moi vouloir aller ici,Je veux venir ici.
aujourd hui moi ici,"Aujourd'hui, je suis ici."
bien,Très bien.
bien,C'est bien.
bon,C'est bon.
bon,Très bien.
moi bien,Je vais bien.
tu bien,Tu vas bien ?
nous bien,Nous allons bien.
moi comprendre bien,Je comprends bien.
moi apprendre bien,J'apprends bien.
moi manger bien,Je mange bien.
moi boire bien,Je bois bien.
moi aller bien,Je vais bien.
ami bien,Mon ami va bien.
bebe bien,Le bébé va bien.
chat bien,Le chat va bien.
aujourd hui bien,"Aujourd'hui, tout va bien."
moi vouloir bien manger,Je veux bien manger.
moi comprendre bien merci,"Je comprends bien, merci."
nous bien merci,"Nous allons bien, merci."
moi aller avec tu,Je vais avec toi.
moi aller avec ami,Je pars avec mon ami.
tu aller avec moi,Tu viens avec moi ?
nous aller avec ami,Nous partons avec notre ami.
moi manger avec tu,Je mange avec toi.
moi manger avec ami,Je mange avec mon ami.
tu manger avec nous,Tu manges avec nous ?
moi boire avec ami,Je bois avec mon ami.
moi apprendre avec ami,J'apprends avec mon ami.
moi apprendre avec tu,J'apprends avec toi.
moi vouloir aller avec ami,Je veux partir avec mon ami.
moi vouloir aller avec tu,Je veux aller avec toi.
tu vouloir aller avec nous,Tu veux venir avec nous ?
moi vouloir manger avec tu,Je veux manger avec toi.
moi vouloir apprendre avec ami,Je veux apprendre avec mon ami.
nous apprendre avec ami,Nous apprenons avec notre ami.
aujourd hui,Aujourd'hui.
aujourd hui moi aller,"Aujourd'hui, je pars."
aujourd hui moi apprendre,"Aujourd'hui, j'apprends."
aujourd hui moi changer,"Aujourd'hui, je change."
aujourd hui moi comprendre,"Aujourd'hui, je comprends."
aujourd hui moi donner aide ami,"Aujourd'hui, je donne de l'aide à mon ami."
aujourd hui moi attendre ami,"Aujourd'hui, j'attends mon ami."
aujourd hui moi vouloir boire,"Aujourd'hui, je veux boire."
aujourd hui tu aller,Tu pars aujourd'hui ?
aujourd hui tu apprendre,Tu apprends aujourd'hui ?
aujourd hui nous aller,"Aujourd'hui, nous partons."
aujourd hui nous apprendre,"Aujourd'hui, nous apprenons."
aujourd hui bebe bien,"Aujourd'hui, le bébé va bien."
aujourd hui moi non bien,"Aujourd'hui, je ne vais pas bien."
moi aller bientot,Je pars bientôt.
moi manger bientot,Je mange bientôt.
moi comprendre bientot,Je vais comprendre bientôt.
moi apprendre bientot,Je vais apprendre bientôt.
moi vouloir aller bientot,Je veux partir bientôt.
ami aller bientot,Mon ami part bientôt.
nous apprendre bientot,Nous allons apprendre bientôt.
moi attendre bientot,J'attends bientôt.
au revoir moi aller bientot,"Au revoir, je pars bientôt."
nous aller bientot,Nous partons bientôt.
moi changer bientot,Je vais changer bientôt.
moi vouloir apprendre avec ami aujourd hui,"Aujourd'hui, je veux apprendre avec mon ami."
tu vouloir manger avec moi aujourd hui,Tu veux manger avec moi aujourd'hui ?
nous aller ici avec ami bientot,Nous venons ici avec notre ami bientôt.
moi non comprendre vouloir aide,"Je ne comprends pas, j'ai besoin d'aide."
aujourd hui moi apprendre bien,"Aujourd'hui, j'apprends bien."
moi aimer aller avec ami,J'aime partir avec mon ami.
tu vouloir aller avec moi bientot,Tu veux venir avec moi bientôt ?
moi vouloir donner aide ami,Je veux donner de l'aide à mon ami.
nous vouloir manger ici aujourd hui,"Aujourd'hui, nous voulons manger ici."
moi non comprendre aide moi,"Je ne comprends pas, aide-moi."
aujourd hui moi manger boire avec ami,"Aujourd'hui, je mange et bois avec mon ami."
moi apprendre comprendre bientot,Je vais bientôt apprendre à comprendre.
tu aller avec ami aujourd hui,Tu pars avec ton ami aujourd'hui ?
moi vouloir aller ici avec tu,Je veux venir ici avec toi.
nous apprendre ici aujourd hui bien,"Aujourd'hui, nous apprenons bien ici."
bonjour comment tu aujourd hui bien,"Bonjour, tu vas bien aujourd'hui ?"
moi attendre ami ici bientot,"J'attends mon ami ici, à bientôt."
tu vouloir apprendre avec nous,Tu veux apprendre avec nous ?
moi donner aide ami aujourd hui,"Aujourd'hui, je donne de l'aide à mon ami."
nous non comprendre aide nous,"Nous ne comprenons pas, aide-nous."
moi aimer boire avec ami bien,"J'aime boire avec mon ami, c'est bien."
moi changer aujourd hui bien,"Je change aujourd'hui, c'est bien."
tu aimer aller ici avec nous,Tu aimes venir ici avec nous ?
moi vouloir changer bientot,Je veux changer bientôt.
aujourd hui moi donner aide ami,"Aujourd'hui, j'aide mon ami."
moi aimer apprendre ici avec ami,J'aime apprendre ici avec mon ami.
nous vouloir aller avec ami aujourd hui,"Aujourd'hui, nous voulons partir avec notre ami."
moi attendre tu ici bientot,"Je t'attends ici, à bientôt."
moi non vouloir aller bientot,Je ne veux pas partir tout de suite.
bonjour moi vouloir aide,"Bonjour, j'ai besoin d'aide."
moi donner amour ami bien,Je donne beaucoup d'amour à mon ami.
nous apprendre ici avec amour,Nous apprenons ici avec amour.
moi vouloir manger ici avec ami bientot,Je veux manger ici avec mon ami bientôt.
tu non vouloir aller avec nous,Tu ne veux pas partir avec nous ?
moi comprendre avec aide ami bien,Je comprends bien grâce à l'aide de mon ami.
aujourd hui moi non bien aide moi,"Aujourd'hui, je ne vais pas bien, aide-moi."
nous manger ici avec ami bien,Nous mangeons bien ici avec notre ami.
moi vouloir aller avec ami bientot,Je veux partir avec mon ami bientôt.
tu aller avec moi ici,Tu viens avec moi ici ?
nous aimer apprendre ensemble,Nous aimons apprendre ensemble.
bonjour ami comment tu aujourd hui,"Bonjour mon ami, comment vas-tu aujourd'hui ?"
moi bien apprendre avec ami aujourd hui,"Aujourd'hui, j'apprends bien avec mon ami."
au revoir ami bientot,"Au revoir mon ami, à bientôt !"
oui moi vouloir aller avec tu bientot,"Oui, je veux bien venir avec toi bientôt."
moi aimer bebe chat bien,J'aime beaucoup les bébés et les chats.
tu comprendre moi bien,Tu me comprends bien ?
nous donner amour ami bientot,Nous allons bientôt donner de l'amour à notre ami.
moi non comprendre aimer,Je ne comprends pas l'amour.
tu aimer apprendre avec nous,Tu aimes apprendre avec nous ?
nous vouloir apprendre avec ami aujourd hui,"Aujourd'hui, nous voulons apprendre avec notre ami."
tu aller avec moi,Tu viens avec moi ?
tu manger avec moi,Tu manges avec moi ?
tu apprendre avec moi,Tu apprends avec moi ?
tu boire avec moi,Tu bois avec moi ?
tu vouloir aller avec moi,Tu veux venir avec moi ?
tu vouloir manger avec moi,Tu veux manger avec moi ?
tu vouloir apprendre avec moi,Tu veux apprendre avec moi ?
moi aller avec tu bientot,Je vais avec toi bientôt.
moi manger avec tu aujourd hui,"Aujourd'hui, je mange avec toi."
moi apprendre avec tu bientot,Je vais apprendre avec toi bientôt.
moi vouloir aller avec tu aujourd hui,"Aujourd'hui, je veux aller avec toi."
aide,Aide-moi !
aide,J'ai besoin d'aide.
moi vouloir aide,Je veux de l'aide.
moi vouloir aide bientot,J'aurai besoin d'aide bientôt.
tu aide moi,Tu peux m'aider ?
moi aide tu,Je t'aide.
nous aide ami,Nous aidons notre ami.
moi non comprendre aide,"Je ne comprends pas, aide-moi."
tu aide nous,Tu nous aides ?
moi donner aide tu,Je te donne de l'aide.
tu vouloir aide moi,Tu veux m'aider ?
moi aide bientot,Je vais t'aider bientôt.
bonjour moi vouloir aide,"Bonjour, j'ai besoin d'aide."
oui moi vouloir aide,"Oui, j'ai besoin d'aide."
merci aide,Merci pour l'aide !
merci moi comprendre,"Merci, je comprends maintenant."
comment tu,Comment vas-tu ?
comment tu bien,Tu vas bien ?
comment tu aujourd hui,Comment vas-tu aujourd'hui ?
comment nous aller,Comment allons-nous ?
comment tu apprendre,Comment apprends-tu ?
comment tu comprendre,Comment comprends-tu ?
comment moi aller,Comment je fais pour partir ?
bonjour comment tu,"Bonjour, comment vas-tu ?"
bonjour comment tu aujourd hui,"Bonjour, comment vas-tu aujourd'hui ?"
bonjour ami comment tu,"Bonjour mon ami, comment vas-tu ?"
moi bien merci,"Je vais bien, merci."
moi non bien aide,"Je ne vais pas bien, j'ai besoin d'aide."
moi comprendre merci,"Je comprends, merci."
moi non comprendre encore,Je ne comprends pas encore.
moi attendre,J'attends.
moi ici attendre tu,Je suis ici et je t'attends.
moi vouloir aller bientot,Je veux partir bientôt.
nous aller ici aujourd hui,"Aujourd'hui, nous venons ici."
moi aimer ici,J'aime être ici.
moi aimer avec tu,J'aime être avec toi.
moi aimer avec ami,J'aime être avec mon ami.
moi aimer aujourd hui,J'aime aujourd'hui.
nous aimer manger ici,Nous aimons manger ici.
tu aimer manger ici,Tu aimes manger ici ?
merci,Merci !
merci bien,Merci beaucoup !
merci aide,Merci pour l'aide !
merci ami,"Merci, mon ami."
merci moi comprendre,"Merci, je comprends."
merci nous apprendre,"Merci, nous apprenons."
merci tu aide,Merci de m'avoir aidé.
oui merci,"Oui, merci !"
non merci,Non merci.
merci aujourd hui,Merci pour aujourd'hui.
merci bientot,"Merci, à bientôt."
bonjour merci,"Bonjour, merci !"
au revoir merci,"Au revoir, merci !"
moi aimer,J'aime.
tu aimer,Tu aimes ?
nous aimer,Nous aimons.
moi aller,Je vais.
tu aller,Tu vas ?
nous aller,Nous allons.
moi apprendre,J'apprends.
tu apprendre,Tu apprends ?
nous apprendre,Nous apprenons.
moi attendre,J'attends.
tu attendre,Tu attends ?
nous attendre,Nous attendons.
moi boire,Je bois.
tu boire,Tu bois ?
nous boire,Nous buvons.
moi changer,Je change.
tu changer,Tu changes ?
nous changer,Nous changeons.
moi comprendre,Je comprends.
tu comprendre,Tu comprends ?
nous comprendre,Nous comprenons.
moi donner,Je donne.
tu donner,Tu donnes ?
nous donner,Nous donnons.
moi manger,Je mange.
tu manger,Tu manges ?
nous manger,Nous mangeons.
moi vouloir,Je veux.
tu vouloir,Tu veux ?
nous vouloir,Nous voulons.
moi non aimer,Je n'aime pas.
tu non aimer,Tu ne aimes pas.
nous non aimer,Nous n'aimons pas.
moi non aller,Je ne vais pas.
tu non aller,Tu ne vas pas.
nous non aller,Nous n'allons pas.
moi non apprendre,Je n'apprends pas.
tu non apprendre,Tu ne apprends pas.
nous non apprendre,Nous n'apprenons pas.
moi non attendre,Je n'attends pas.
tu non attendre,Tu ne attends pas.
nous non attendre,Nous n'attendons pas.
moi non boire,Je ne bois pas.
tu non boire,Tu ne bois pas.
nous non boire,Nous ne buvons pas.
moi non changer,Je ne change pas.
tu non changer,Tu ne changes pas.
nous non changer,Nous ne changeons pas.
moi non comprendre,Je ne comprends pas.
tu non comprendre,Tu ne comprends pas.
nous non comprendre,Nous ne comprenons pas.
moi non donner,Je ne donne pas.
tu non donner,Tu ne donnes pas.
nous non donner,Nous ne donnons pas.
moi non manger,Je ne mange pas.
tu non manger,Tu ne manges pas.
nous non manger,Nous ne mangeons pas.
moi non vouloir,Je ne veux pas.
tu non vouloir,Tu ne veux pas.
nous non vouloir,Nous ne voulons pas.
oui moi aimer,"Oui, j'aime."
non moi non aimer,"Non, je n'aime pas."
oui tu aimer,"Oui, tu aimes."
non tu non aimer,"Non, tu n aimes pas."
oui moi aller,"Oui, je vais."
non moi non aller,"Non, je ne vais pas."
oui tu aller,"Oui, tu vas."
non tu non aller,"Non, tu ne vas pas."
oui moi apprendre,"Oui, j'apprends."
non moi non apprendre,"Non, je n'apprends pas."
oui tu apprendre,"Oui, tu apprends."
non tu non apprendre,"Non, tu n apprends pas."
oui moi attendre,"Oui, j'attends."
non moi non attendre,"Non, je n'attends pas."
oui tu attendre,"Oui, tu attends."
non tu non attendre,"Non, tu n attends pas."
oui moi boire,"Oui, je bois."
non moi non boire,"Non, je ne bois pas."
oui tu boire,"Oui, tu bois."
non tu non boire,"Non, tu ne bois pas."
oui moi changer,"Oui, je change."
non moi non changer,"Non, je ne change pas."
